
131.94.113.67	"05:38 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:39 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
131.94.113.67	"05:40 pm  Tuesday February 22, 2011"	"Sheep +"	  39.60	 122.78
166.3.38.129	"12:26 pm  Thursday February 24, 2011"	"RimLakes +"	  34.20	 110.56
166.3.38.129	"12:28 pm  Thursday February 24, 2011"	"RimLakes +"	  34.20	 110.56
137.150.107.14	"02:51 pm  Thursday February 24, 2011"	"DENVER WB AP CO"	  39.77	-104.88
137.150.107.30	"03:07 pm  Thursday February 24, 2011"	"MOUNT SHASTA CA"	  41.32	-122.32
129.82.115.39	"04:08 pm  Sunday February 27, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.7.82.134	"03:34 pm  Wednesday March 2, 2011"	"Little Belt Mountains +"	  46.92	 111.00
166.7.82.134	"03:49 pm  Wednesday March 2, 2011"	"Little Belt Mountains +"	  46.92	 111.00
63.240.230.197	"10:24 am  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"10:25 am  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"10:26 am  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"10:31 am  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"10:35 am  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"01:40 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"01:41 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"01:44 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:11 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:14 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:15 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:17 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:22 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"02:23 pm  Friday March 4, 2011"	"NEWARK CA"	  37.52	-122.03
93.178.10.169	"04:32 pm  Tuesday March 8, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.92.253	"03:53 pm  Monday March 14, 2011"	"Sheep +"	  39.52	-122.18
170.144.92.253	"04:00 pm  Monday March 14, 2011"	"Sheep +"	  39.52	-122.18
170.144.93.206	"07:25 am  Tuesday March 15, 2011"	"Sheep +"	  39.36	 122.50
170.144.93.206	"07:27 am  Tuesday March 15, 2011"	"Sheep +"	  39.36	 122.50
170.144.93.206	"07:31 am  Tuesday March 15, 2011"	"Sheep +"	  39.36	 122.50
170.144.93.206	"07:53 am  Tuesday March 15, 2011"	"Sheep +"	  39.36	 122.50
166.2.29.202	"09:10 am  Tuesday March 15, 2011"	"COBALT ID 2 +"	  45.08	 114.39
166.5.18.73	"10:04 am  Thursday March 17, 2011"	"Waterman 3200ft +"	  40.85	 123.45
166.2.29.202	"02:13 pm  Thursday March 17, 2011"	"COBALT ID 4 +"	  45.12	 114.31
204.124.92.254	"03:18 pm  Wednesday March 23, 2011"	"EAGLE CAA CO"	  39.63	-106.92
129.82.113.245	"03:35 pm  Thursday March 31, 2011"	"STEAMBOAT SPRINGS CO"	  40.50	-106.83
166.5.110.252	"01:27 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"01:35 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"01:37 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"01:39 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"01:40 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"01:46 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:03 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:05 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:12 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:13 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:15 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:19 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
