
166.7.149.189	02:42 pm  Thursday February 17, 2011	50	3	  LibbyTailings +                       
166.6.213.165	03:08 pm  Thursday February 17, 2011	30	5	  Hanlon TS area +                      
193.140.168.108	11:36 pm  Thursday February 17, 2011	30	32	  GIRESUN + +                           
193.140.168.108	00:15 am  Friday February 18, 2011	30	32	  GIRESUN + +                           
166.7.149.189	06:30 am  Friday February 18, 2011	50	3	  LibbyTailings +                       
166.7.149.189	06:41 am  Friday February 18, 2011	1	3	  LibbyTailings +                       
166.7.149.189	06:42 am  Friday February 18, 2011	10	3	  LibbyTailings +                       
166.7.149.189	06:45 am  Friday February 18, 2011	50	3	  LibbyTailings +                       
166.7.149.189	06:58 am  Friday February 18, 2011	50	3	  LibbyTailings +                       
193.140.168.108	04:49 am  Monday February 21, 2011	30	32	  GIRESUN + + +                         
193.140.168.108	05:51 am  Monday February 21, 2011	30	32	  GIRESUN + + +                         
193.140.168.108	05:51 am  Monday February 21, 2011	1	32	  GIRESUN + + +                         
193.140.168.108	06:04 am  Monday February 21, 2011	1	32	  GIRESUN + + +                         
166.7.77.183	10:59 am  Tuesday February 22, 2011	30	4	  Cabin Gulch (2008) +                  
166.7.77.183	11:02 am  Tuesday February 22, 2011	30	2	  Cabin Gulch (2008) +                  
166.7.77.183	11:03 am  Tuesday February 22, 2011	30	2	  Cabin Gulch (2008) +                  
166.7.77.183	11:04 am  Tuesday February 22, 2011	30	4	  Cabin Gulch (2008) +                  
166.7.77.183	11:16 am  Tuesday February 22, 2011	30	4	  Cabin Gulch (2008) +                  
166.7.77.183	11:18 am  Tuesday February 22, 2011	30	4	  Cabin Gulch (2008) +                  
166.7.77.183	11:19 am  Tuesday February 22, 2011	30	2	  Cabin Gulch (2008) +                  
166.7.77.183	12:26 pm  Tuesday February 22, 2011	30	2	  Cabin Gulch (2008) +                  
166.7.77.183	12:28 pm  Tuesday February 22, 2011	30	2	  Cabin Gulch (2008) +                  
166.7.77.183	01:27 pm  Tuesday February 22, 2011	30	3	  Cabin Gulch (2008) +                  
166.7.77.183	01:31 pm  Tuesday February 22, 2011	30	3	  Cabin Gulch (2008) +                  
166.7.77.183	01:34 pm  Tuesday February 22, 2011	30	16	  Cabin Gulch (2008) +                  
166.7.77.183	01:36 pm  Tuesday February 22, 2011	30	16	  Cabin Gulch (2008) +                  
166.7.77.183	01:42 pm  Tuesday February 22, 2011	30	14	  Cabin Gulch (2008) +                  
166.7.77.183	01:44 pm  Tuesday February 22, 2011	30	14	  Cabin Gulch (2008) +                  
166.7.77.183	01:49 pm  Tuesday February 22, 2011	30	13	  Cabin Gulch (2008) +                  
166.7.77.183	01:51 pm  Tuesday February 22, 2011	30	13	  Cabin Gulch (2008) +                  
166.7.77.183	01:56 pm  Tuesday February 22, 2011	30	13	  Cabin Gulch (2008) +                  
166.7.77.183	01:59 pm  Tuesday February 22, 2011	30	14	  Cabin Gulch (2008) +                  
166.7.77.183	02:01 pm  Tuesday February 22, 2011	30	14	  Cabin Gulch (2008) +                  
166.7.77.183	02:02 pm  Tuesday February 22, 2011	30	13	  Cabin Gulch (2008) +                  
166.7.77.183	02:04 pm  Tuesday February 22, 2011	30	13	  Cabin Gulch (2008) +                  
166.7.77.183	02:17 pm  Tuesday February 22, 2011	30	16	  Cabin Gulch (2008) +                  
166.7.77.183	02:20 pm  Tuesday February 22, 2011	30	16	  Cabin Gulch (2008) +                  
166.7.77.183	02:30 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	02:32 pm  Tuesday February 22, 2011	30	9	  Cabin Gulch (2008) +                  
166.7.77.183	02:34 pm  Tuesday February 22, 2011	30	9	  Cabin Gulch (2008) +                  
166.7.77.183	02:35 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	02:36 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	02:43 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	02:46 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	02:48 pm  Tuesday February 22, 2011	30	9	  Cabin Gulch (2008) +                  
166.7.77.183	02:50 pm  Tuesday February 22, 2011	30	11	  Cabin Gulch (2008) +                  
193.140.168.108	02:16 am  Wednesday February 23, 2011	1	32	  GIRESUN + + +                         
166.7.149.189	01:03 pm  Wednesday February 23, 2011	50	4	  LibbyTailings +                       
166.7.149.189	01:09 pm  Wednesday February 23, 2011	50	1	  LibbyTailings +                       
166.7.149.189	01:10 pm  Wednesday February 23, 2011	50	1	  LibbyTailings +                       
166.7.149.189	01:13 pm  Wednesday February 23, 2011	50	3	  LibbyTailings +                       
170.144.89.233	04:18 pm  Thursday February 24, 2011	30	5	  Schweitzer +                          
170.144.89.233	04:31 pm  Thursday February 24, 2011	30	8	  Schweitzer +                          
86.71.115.248	08:42 am  Monday February 28, 2011	30	5	  SEELEY LAKE RS MT 22.55 +             
128.101.73.206	11:49 am  Monday February 28, 2011	30	5	  Wolf Ridge +                          
128.101.73.206	11:53 am  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	11:53 am  Monday February 28, 2011	30	4	  Wolf Ridge +                          
128.101.73.206	11:55 am  Monday February 28, 2011	30	1	  GRAND MARAIS CST GD MN                
128.101.73.206	11:56 am  Monday February 28, 2011	30	1	  TWO HARBORS MN                        
128.101.73.206	11:58 am  Monday February 28, 2011	30	1	  Lutsen3nne +                          
128.101.73.206	12:20 pm  Monday February 28, 2011	30	2	  Wolf Ridge +                          
128.101.73.206	12:26 pm  Monday February 28, 2011	30	5	  Wolf Ridge +                          
128.101.73.206	12:31 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:32 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:33 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:34 pm  Monday February 28, 2011	30	4	  Wolf Ridge +                          
128.101.73.206	12:35 pm  Monday February 28, 2011	30	1	  TWO HARBORS MN                        
128.101.73.206	12:36 pm  Monday February 28, 2011	30	1	  Lutsen3nne +                          
128.101.73.206	12:37 pm  Monday February 28, 2011	30	1	  GRAND MARAIS CST GD MN                
128.101.73.206	12:38 pm  Monday February 28, 2011	30	1	  GRAND MARAIS CST GD MN                
128.101.73.206	12:48 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:49 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:50 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	12:51 pm  Monday February 28, 2011	30	1	  Lutsen3nne +                          
128.101.73.206	12:52 pm  Monday February 28, 2011	30	1	  Lutsen3nne +                          
128.101.73.206	01:19 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
