
90.163.75.178	"08:50 am  Saturday January 23, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
141.219.207.25	"11:02 am  Saturday January 23, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
75.43.37.112	"08:24 am  Sunday January 24, 2016"	"JODA+ +"	  44.36	-119.38
165.83.47.253	"10:24 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:25 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:25 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:28 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:29 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:32 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:33 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:34 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:36 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:37 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"10:38 am  Monday January 25, 2016"	"JODA +"	  44.36	 119.38
166.2.22.200	"11:57 am  Tuesday January 26, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
76.77.19.50	"02:40 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"02:44 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"02:47 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"02:53 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"03:04 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"03:13 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
76.77.19.50	"03:16 pm  Tuesday January 26, 2016"	"Hilltop, San Carlos, AZ +"	  33.63	 110.28
50.78.200.89	"12:27 pm  Wednesday January 27, 2016"	"WALSENBURG CO"	  37.63	-104.78
166.2.22.155	"10:05 am  Thursday January 28, 2016"	"SONORA CA"	  37.98	-120.38
166.2.22.155	"10:16 am  Thursday January 28, 2016"	"CHEESMAN CO"	  39.22	-105.28
166.2.22.155	"10:22 am  Thursday January 28, 2016"	"CHEESMAN CO"	  39.22	-105.28
166.2.22.155	"01:04 pm  Friday January 29, 2016"	"SONORA CA"	  37.98	-120.38
166.2.22.155	"01:08 pm  Friday January 29, 2016"	"SONORA CA"	  37.98	-120.38
166.2.22.155	"01:13 pm  Friday January 29, 2016"	"CHEESMAN CO"	  39.22	-105.28
166.2.22.155	"02:10 pm  Friday January 29, 2016"	"FENN RS ID"	  46.10	-115.55
166.2.22.155	"02:11 pm  Friday January 29, 2016"	"FENN RS ID"	  46.10	-115.55
60.166.64.88	"08:12 am  Monday February 1, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.2.22.155	"12:12 pm  Monday February 1, 2016"	"CHEESMAN CO"	  39.22	-105.28
166.2.22.155	"12:12 pm  Monday February 1, 2016"	"CHEESMAN CO"	  39.22	-105.28
128.210.106.113	"08:25 am  Tuesday February 2, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.7.82.190	"10:20 am  Thursday February 4, 2016"	"Johny crow mod 2 +"	  46.24	 111.77
164.165.230.27	"10:31 am  Thursday February 4, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
128.210.106.113	"11:11 am  Thursday February 4, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
98.145.155.198	"09:59 am  Friday February 5, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
164.165.230.27	"10:52 am  Friday February 5, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
165.235.73.22	"01:53 pm  Friday February 5, 2016"	"LAKEPORT CA"	  39.05	-122.92
165.235.73.22	"02:00 pm  Friday February 5, 2016"	"LAKEPORT CA"	  39.05	-122.92
165.235.73.22	"02:06 pm  Friday February 5, 2016"	"LAKEPORT CA BMDSF +"	  38.83	 122.69
174.97.3.231	"08:35 am  Saturday February 6, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
