166.2.47.206	"10:00 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:15 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:26 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:39 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:48 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"10:57 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:24 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:35 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:41 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"11:56 am  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"02:06 pm  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"02:08 pm  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"02:52 pm  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"02:55 pm  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
166.2.47.206	"03:26 pm  Thursday February 4, 2016"	"Skyline WUI D7 WY +"	  42.99	 109.77
69.92.25.80	"12:39 pm  Friday February 5, 2016"	"MidSouthFork +"	  48.61	 117.71
166.2.22.200	"02:51 pm  Monday February 8, 2016"	"Skyline WUI D7 WY +"	  42.87	-109.85
166.2.22.200	"02:51 pm  Monday February 8, 2016"	"Skyline WUI D7 WY +"	  42.87	-109.85
158.68.66.254	"08:34 am  Thursday February 11, 2016"	"NESTUCCA R +"	  45.29	 123.50
158.68.66.254	"09:06 am  Thursday February 11, 2016"	"NESTUCCA R +"	  45.29	 123.50
166.2.37.152	"01:14 pm  Friday February 12, 2016"	"Rainey Creek +"	  43.41	 111.23
170.144.85.22	"02:26 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
170.144.85.22	"02:29 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
170.144.85.22	"02:42 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
170.144.85.22	"02:46 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
170.144.85.22	"02:47 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
170.144.85.22	"02:48 pm  Thursday February 18, 2016"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.38.127	"08:14 am  Monday February 22, 2016"	"ALPINE AZ"	  33.85	-109.13
166.3.38.127	"08:17 am  Monday February 22, 2016"	"ALPINE AZ"	  33.85	-109.13
166.3.38.127	"08:18 am  Monday February 22, 2016"	"ALPINE AZ"	  33.85	-109.13
166.3.38.127	"08:21 am  Monday February 22, 2016"	"ALPINE AZ"	  33.85	-109.13
203.189.136.231	"06:50 pm  Wednesday February 24, 2016"	"DENVER WB AP CO"	  39.77	-104.88
166.2.77.165	"12:38 pm  Friday February 26, 2016"	"HalfWhiskey +"	  40.85	 109.70
166.2.77.165	"01:40 pm  Friday February 26, 2016"	"HalfWhiskey +"	  40.85	 109.70
