
69.92.25.80	"01:11 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:11 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:12 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:12 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:12 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:13 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"01:13 pm  Thursday January 14, 2016"	50	"MidSouthFork +"	  48.61	 117.71
166.6.147.28	"04:08 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:10 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:11 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:13 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:23 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:30 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:32 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:34 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:35 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:36 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
166.6.147.28	"04:39 pm  Thursday January 14, 2016"	50	"ELKTON 2 W OR"	  43.65	-123.60
106.120.173.106	"03:59 am  Friday January 15, 2016"		""		
158.68.66.254	"08:41 am  Friday January 15, 2016"	10	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"08:42 am  Friday January 15, 2016"	30	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"08:51 am  Friday January 15, 2016"	30	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"08:53 am  Friday January 15, 2016"	30	"MOSCOW U OF I ID"	  46.73	-117.00
158.68.66.254	"08:54 am  Friday January 15, 2016"	30	"MOUNT SHASTA CA"	  41.32	-122.32
158.68.66.254	"08:54 am  Friday January 15, 2016"	30	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
158.68.66.254	"08:54 am  Friday January 15, 2016"	30	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"08:55 am  Friday January 15, 2016"	30	"NESTUCCA R +"	  45.29	 123.50
158.68.66.254	"08:55 am  Friday January 15, 2016"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
158.68.66.254	"08:55 am  Friday January 15, 2016"	30	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"08:58 am  Friday January 15, 2016"	50	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"09:03 am  Friday January 15, 2016"	50	"NESTUCCA R OR +"	  45.32	 123.46
166.3.6.41	"09:10 am  Friday January 15, 2016"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.41	"09:11 am  Friday January 15, 2016"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
158.68.66.254	"09:12 am  Friday January 15, 2016"	50	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"09:13 am  Friday January 15, 2016"	50	"NESTUCCA R OR +"	  45.32	 123.46
158.68.66.254	"09:40 am  Friday January 15, 2016"	50	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:41 am  Friday January 15, 2016"	50	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:42 am  Friday January 15, 2016"	50	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:44 am  Friday January 15, 2016"	50	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:47 am  Friday January 15, 2016"	50	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:47 am  Friday January 15, 2016"	30	"CHARLESTON KAN AP WV"	  38.37	 -81.60
166.3.6.41	"09:52 am  Friday January 15, 2016"	10	"PAYSON WB CITY AZ"	  34.23	-111.33
158.68.66.254	"09:53 am  Friday January 15, 2016"	30	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:53 am  Friday January 15, 2016"	30	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:54 am  Friday January 15, 2016"	30	"CHARLESTON KAN AP WV"	  38.37	 -81.60
158.68.66.254	"09:54 am  Friday January 15, 2016"	30	"CHARLESTON KAN AP WV"	  38.37	 -81.60
166.3.6.41	"11:30 am  Friday January 15, 2016"	10	"PAYSON WB CITY AZ +"	  34.43	 110.85
158.68.66.254	"03:40 pm  Friday January 15, 2016"	50	"NESTUCCA R +"	  45.29	 123.50
158.68.66.254	"03:50 pm  Friday January 15, 2016"	50	"NESTUCCA R +"	  45.29	 123.50
158.68.66.254	"03:53 pm  Friday January 15, 2016"	50	"NESTUCCA R +"	  45.29	 123.50
158.68.66.254	"03:54 pm  Friday January 15, 2016"	50	"NESTUCCA R +"	  45.29	 123.50
50.139.63.252	"07:10 pm  Friday January 15, 2016"	100	"TlineTest +"	  45.34	 121.78
207.46.13.36	"12:31 pm  Sunday January 17, 2016"		""		
129.82.213.216	"11:53 am  Monday January 18, 2016"	30	"Old Flowers Road +"	  40.63	 105.44
129.82.213.216	"12:00 pm  Monday January 18, 2016"	30	"Old Flowers Road +"	  40.63	 105.44
166.7.77.157	"02:29 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:29 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:29 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:29 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:30 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:31 pm  Wednesday January 20, 2016"	50	"Ontario Creek +"	  46.42	 112.39
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:36 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:37 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:38 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
166.7.77.157	"02:38 pm  Wednesday January 20, 2016"	50	"Telegraph Creek +"	  46.49	 112.35
