166.5.84.104	11:50 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:51 am  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:40 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:40 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:41 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:53 pm  Wednesday January 6, 2010	50	  UKIAH CA                              	 LATT=  39.15 LONG=-123.20
208.80.193.27	03:22 pm  Wednesday January 6, 2010	1		
166.5.84.104	05:40 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	05:42 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	05:43 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	05:43 pm  Wednesday January 6, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:26 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:27 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:27 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:28 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:28 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:29 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:29 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:29 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:30 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:31 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:32 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:33 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:34 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	10:36 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	11:59 am  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:00 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:03 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:05 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:05 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:06 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:13 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	12:46 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
216.227.95.58	12:56 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
216.227.95.58	12:57 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.5.84.104	12:59 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
216.227.95.58	01:00 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.5.84.104	01:03 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:04 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:04 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
216.227.95.58	01:06 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
216.227.95.58	01:08 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.5.84.104	01:08 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:09 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
216.227.95.58	01:11 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
216.227.95.58	01:12 pm  Thursday January 7, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.5.84.104	01:42 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:43 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:44 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:45 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	01:46 pm  Thursday January 7, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:01 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:03 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:05 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:24 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:25 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:26 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:29 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:31 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	02:33 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	03:03 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	03:04 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	04:03 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	04:06 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	04:09 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
63.80.176.97	04:27 pm  Thursday January 7, 2010	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
166.5.84.104	04:43 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.5.84.104	04:50 pm  Thursday January 7, 2010	50	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
208.80.193.30	00:04 am  Friday January 8, 2010	1		
66.200.87.14	01:20 pm  Friday January 8, 2010	30	  BUCHANAN VA                           	 LATT=  37.53 LONG= -79.68
166.7.5.213	03:10 pm  Friday January 8, 2010	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
166.6.176.254	04:15 pm  Friday January 8, 2010	30	  ELLENSBURG AP_Liberty +               	 LATT=  47.27 LONG= 120.69
166.6.176.254	04:16 pm  Friday January 8, 2010	30	  ELLENSBURG AP_Liberty +               	 LATT=  47.27 LONG= 120.69
166.6.176.254	04:17 pm  Friday January 8, 2010	30	  ELLENSBURG AP_Liberty +               	 LATT=  47.27 LONG= 120.69
208.80.193.34	07:30 am  Saturday January 9, 2010	1		
208.80.193.35	03:16 pm  Sunday January 10, 2010	1		
84.57.249.75	05:53 am  Monday January 11, 2010	30	  OLYMPIA WB AP WA                      	 LATT=  46.97 LONG=-122.90
84.57.249.75	07:11 am  Monday January 11, 2010	30	  OLYMPIA WB AP WA                      	 LATT=  46.97 LONG=-122.90
166.2.29.220	10:32 am  Monday January 11, 2010	50	  WhiteKnob +                           	 LATT=  43.90 LONG= 113.68
208.80.193.28	11:11 pm  Monday January 11, 2010	1		
201.240.162.181	01:38 pm  Tuesday January 12, 2010	30	  SEELEY LAKE RS MT 22.55 +             	 LATT=  47.14 LONG= 113.60
166.2.29.220	07:24 am  Wednesday January 13, 2010	50	  WhiteKnob +                           	 LATT=  43.90 LONG= 113.68
166.2.29.220	07:30 am  Wednesday January 13, 2010	50	  WhiteKnob +                           	 LATT=  43.90 LONG= 113.68
166.2.29.220	07:31 am  Wednesday January 13, 2010	50	  WhiteKnob +                           	 LATT=  43.90 LONG= 113.68
166.2.29.220	07:31 am  Wednesday January 13, 2010	50	  WhiteKnob +                           	 LATT=  43.90 LONG= 113.68
166.7.134.31	08:34 am  Wednesday January 13, 2010	30	  SAINT MARIES ID                       	 LATT=  47.32 LONG=-116.57
166.7.134.31	08:34 am  Wednesday January 13, 2010	30	  SAINT MARIES ID                       	 LATT=  47.32 LONG=-116.57
166.7.134.31	08:37 am  Wednesday January 13, 2010	30	  SAINT MARIES ID                       	 LATT=  47.32 LONG=-116.57
198.22.133.234	09:35 am  Wednesday January 13, 2010	50	  DENVER WB AP CO                       	 LATT=  39.77 LONG=-104.88
166.7.74.185	12:15 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	12:16 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	12:16 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	12:16 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
