68.189.12.146	"02:29 pm  Friday September 4, 2020"	38	2018.04.01	"*_Carmel_Fire_ "
68.189.12.146	"12:27 pm  Saturday September 5, 2020"	518	2018.04.01	"*_CZU_Complex_1_(McAbee)_ "
170.144.223.117	"12:54 pm  Saturday September 5, 2020"	1597	2018.04.01	"*_ANF_Lake_Fire_ "
68.189.12.146	"05:35 pm  Saturday September 5, 2020"	832	2018.04.01	"*_CZU_Complex_1_(McAbee)_ "
170.144.234.228	"07:03 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.234.228	"07:05 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.234.228	"07:05 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.234.228	"07:06 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
12.231.168.2	"07:06 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"07:17 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"07:20 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"07:21 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"07:22 pm  Saturday September 5, 2020"	615	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"07:25 pm  Saturday September 5, 2020"	1597	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"08:22 pm  Saturday September 5, 2020"	546	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"08:24 pm  Saturday September 5, 2020"	546	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"08:25 pm  Saturday September 5, 2020"	546	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"08:26 pm  Saturday September 5, 2020"	546	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"08:30 pm  Saturday September 5, 2020"	1597	2018.04.01	"*_ANF_Lake_Fire_ "
68.189.12.146	"00:07 am  Sunday September 6, 2020"	832	2018.04.01	"*_CZU_Complex_1_(McAbee)_ "
170.144.235.0	"07:48 am  Sunday September 6, 2020"	1597	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"10:08 am  Sunday September 6, 2020"	89	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"10:41 am  Sunday September 6, 2020"	81	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"10:59 am  Sunday September 6, 2020"	81	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"11:00 am  Sunday September 6, 2020"	81	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.235.0	"11:19 am  Sunday September 6, 2020"	353	2018.04.01	"*_ANF_Lake_Fire_ "
68.189.12.146	"11:44 am  Sunday September 6, 2020"	983	2018.04.01	"*_CZU_Complex_2_(BigBasin)_ _ "
170.144.235.0	"01:03 pm  Sunday September 6, 2020"	300	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.213.28	"02:37 pm  Sunday September 6, 2020"	780	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.213.28	"02:38 pm  Sunday September 6, 2020"	249	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.213.28	"02:40 pm  Sunday September 6, 2020"	249	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.213.28	"03:49 pm  Sunday September 6, 2020"	116	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.133.234	"04:28 pm  Sunday September 6, 2020"	780	2018.04.01	"*_ANF_Lake_Fire_ "
174.193.133.234	"04:31 pm  Sunday September 6, 2020"	780	2017.02.03	"*_ANF_Lake_Fire_ "
