203.6.146.5	"08:57 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"08:59 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:00 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:10 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:12 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:12 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:13 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:13 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:14 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:22 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:23 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:24 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:24 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:25 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:25 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:26 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:26 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:26 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:27 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:43 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:44 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
