166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:54 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:55 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:19 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:20 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
