166.5.84.119	08:36 am  Friday April 11, 2014	30	17	  LAKEPORT CA                           
166.5.84.119	08:36 am  Friday April 11, 2014	30	17	  LAKEPORT CA                           
166.2.41.174	10:49 am  Friday April 11, 2014	30	8	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	10:52 am  Friday April 11, 2014	30	8	  FT HALL IND AGENCY ID                 
166.2.41.174	10:58 am  Friday April 11, 2014	30	8	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	11:05 am  Friday April 11, 2014	30	10	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	11:50 am  Friday April 11, 2014	30	10	  Gibson Jack: from Fort Hall ID +      
166.2.22.240	01:10 pm  Friday April 11, 2014	1	5	  Oregon Ck,MT +                        
166.2.41.174	08:35 am  Monday April 14, 2014	30	3	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	08:36 am  Monday April 14, 2014	30	3	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	08:36 am  Monday April 14, 2014	30	3	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	08:38 am  Monday April 14, 2014	30	4	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	12:07 pm  Monday April 14, 2014	30	2	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	07:22 am  Monday April 21, 2014	30	4	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	07:33 am  Monday April 21, 2014	30	4	  Gibson Jack: from Fort Hall ID +      
166.2.41.174	07:38 am  Monday April 21, 2014	30	4	  Gibson Jack: from Fort Hall ID +      
76.172.98.236	11:25 pm  Tuesday April 22, 2014	30	5	  BIRMINGHAM WB AP AL                   
158.68.66.254	03:13 pm  Wednesday April 23, 2014	30	76	  BLANDING UT                           
158.68.66.254	03:19 pm  Wednesday April 23, 2014	30	66	  BLANDING UT                           
158.68.66.254	03:28 pm  Wednesday April 23, 2014	30	66	  BLANDING UT                           
158.68.66.254	08:59 am  Thursday April 24, 2014	30	67	  BLANDING UT                           
158.68.66.254	09:07 am  Thursday April 24, 2014	30	67	  BLANDING UT                           
158.68.66.254	09:22 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	09:25 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	10:06 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	10:08 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	10:18 am  Thursday April 24, 2014	30	10	  BLANDING UT                           
158.68.66.254	11:01 am  Thursday April 24, 2014	30	3	  BLANDING UT                           
158.68.66.254	11:04 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:05 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:05 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:06 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:09 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:11 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:18 am  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	11:23 am  Thursday April 24, 2014	30	9	  BLANDING UT                           
158.68.66.254	11:24 am  Thursday April 24, 2014	30	9	  BLANDING UT                           
158.68.66.254	01:53 pm  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	01:56 pm  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	02:03 pm  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	02:07 pm  Thursday April 24, 2014	30	65	  BLANDING UT                           
158.68.66.254	02:10 pm  Thursday April 24, 2014	30	65	  BLANDING UT                           
71.216.250.233	01:09 pm  Monday April 28, 2014	50	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	01:11 pm  Monday April 28, 2014	50	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	01:22 pm  Monday April 28, 2014	50	17	  PRISM approx Halfway Ck +             
71.216.250.233	01:31 pm  Monday April 28, 2014	50	17	  PONY , MT +                           
71.216.250.233	05:04 pm  Monday April 28, 2014	30	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	05:07 pm  Monday April 28, 2014	30	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	05:08 pm  Monday April 28, 2014	50	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	05:11 pm  Monday April 28, 2014	50	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	05:12 pm  Monday April 28, 2014	50	17	  PRISM Halfway Ck (from DL) +          
74.111.24.235	10:05 pm  Tuesday April 29, 2014	30	12	  HUDSON 2 NY                           
