
72.175.213.67	07:13 am  Thursday October 25, 2018	Elk / Cervus elaphus
66.62.151.29	11:27 am  Tuesday January 8, 2019	Flammulated owl / Otus flammeolus
66.62.151.29	11:29 am  Tuesday January 8, 2019	Flammulated owl / Otus flammeolus
66.62.151.29	11:40 am  Tuesday January 8, 2019	Flammulated owl / Otus flammeolus
144.92.199.133	11:48 am  Wednesday February 13, 2019	Hermit thrush / Catharus guttatus
142.29.2.169	09:58 am  Friday October 18, 2019	Mule deer / Odocoileus hemionus
142.29.2.169	10:26 am  Friday October 18, 2019	Mule deer / Odocoileus hemionus
142.29.2.169	10:26 am  Friday October 18, 2019	Bighorn sheep / Ovis canadensis
142.29.2.169	10:27 am  Friday October 18, 2019	Mule deer / Odocoileus hemionus
142.29.2.169	10:28 am  Friday October 18, 2019	American marten / Martes americana
129.82.86.84	09:40 am  Tuesday December 10, 2019	Elk / Cervus elaphus
129.82.86.84	09:44 am  Tuesday December 10, 2019	Canada lynx / Lynx canadensis
129.82.86.89	08:42 am  Friday December 13, 2019	Wolverine / Gulo gulo
172.8.217.159	07:25 am  Wednesday February 26, 2020	Acorn woodpecker / Melanerpes formicivorus
172.8.217.159	07:27 am  Wednesday February 26, 2020	Deer Mouse /  Peromyscus maniculatus
172.8.217.159	07:27 am  Wednesday February 26, 2020	Deer Mouse /  Peromyscus maniculatus
172.8.217.159	07:28 am  Wednesday February 26, 2020	Townsend's big-eared bat /  Plecotus townsendii
73.83.117.180	08:00 am  Wednesday March 11, 2020	Colorado chipmunk /  Tamias quadrivittatus
12.0.64.210	02:00 pm  Thursday April 30, 2020	Great gray owl / Strix nebulosa
12.0.64.210	02:01 pm  Thursday April 30, 2020	Acorn woodpecker / Melanerpes formicivorus
170.144.204.3	02:21 pm  Tuesday May 19, 2020	Black bear / Ursus americanus
170.144.90.97	11:44 am  Friday May 29, 2020	Fisher / Martes pennanti
170.144.90.97	11:48 am  Friday May 29, 2020	Northern goshawk / Accipiter gentilis
170.144.90.97	11:49 am  Friday May 29, 2020	Fisher / Martes pennanti
170.144.90.97	11:50 am  Friday May 29, 2020	Fisher / Martes pennanti
170.144.90.97	11:51 am  Friday May 29, 2020	Fisher / Martes pennanti
170.144.90.97	11:52 am  Friday May 29, 2020	Fisher / Martes pennanti
47.33.9.215	03:08 pm  Sunday November 29, 2020	Mule deer / Odocoileus hemionus
47.33.9.215	03:09 pm  Sunday November 29, 2020	Mule deer / Odocoileus hemionus
47.33.9.215	03:11 pm  Sunday November 29, 2020	Blue grouse / Dendragapus obscurus
158.68.232.164	11:22 pm  Thursday January 28, 2021	Mountain quail / Oreortyx pictus
151.33.21.85	02:52 am  Thursday March 25, 2021	Elk / Cervus elaphus
170.144.103.239	04:11 pm  Tuesday June 1, 2021	Great gray owl / Strix nebulosa
170.144.103.239	04:14 pm  Tuesday June 1, 2021	American marten / Martes americana
170.144.122.173	10:36 am  Wednesday July 7, 2021	American marten / Martes americana
66.39.164.214	10:43 am  Wednesday August 4, 2021	American marten / Martes americana
170.144.239.95	04:18 pm  Saturday October 30, 2021	Mexican spotted owl / Strix occidentalis  lucida
170.144.239.95	04:21 pm  Saturday October 30, 2021	Fisher / Martes pennanti
170.144.239.95	04:28 pm  Saturday October 30, 2021	Townsend's big-eared bat /  Plecotus townsendii
170.144.239.95	04:28 pm  Saturday October 30, 2021	Townsend's big-eared bat /  Plecotus townsendii
206.116.51.113	04:13 pm  Wednesday September 6, 2023	Little brown bat /  Myotis lucifugus
206.116.51.113	04:14 pm  Wednesday September 6, 2023	Little brown bat /  Myotis lucifugus
206.116.51.113	06:56 pm  Wednesday September 6, 2023	Mule deer / Odocoileus hemionus
