
178.156.122.185	"01:23 pm  Sunday March 31, 2019"	"Gerona, Spain +"	  41.97	  2.833
178.156.122.185	"01:30 pm  Sunday March 31, 2019"	"Gerona, Spain + +"	  41.97	   2.83
178.156.122.185	"01:32 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"01:32 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:03 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:06 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:08 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:12 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:13 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"02:15 pm  Sunday March 31, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"01:09 pm  Monday April 1, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"01:14 pm  Monday April 1, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
178.156.122.185	"01:15 pm  Monday April 1, 2019"	"Gerona, Spain + + +"	  41.00	   2.00
166.2.22.204	"09:12 am  Thursday April 4, 2019"	"MOUNT SHASTA CA"	  41.32	-122.32
166.2.22.204	"09:13 am  Thursday April 4, 2019"	"MOUNT SHASTA CA"	  41.32	-122.32
166.2.22.243	"12:37 pm  Friday April 5, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
209.222.203.199	"03:40 am  Monday April 8, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.199	"03:41 am  Monday April 8, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
166.7.134.151	"11:42 am  Monday April 8, 2019"	"SAINT MARIES ID + +"	  47.14	 116.05
166.7.134.151	"11:42 am  Monday April 8, 2019"	"SAINT MARIES ID + +"	  47.14	 116.05
166.2.22.203	"09:50 am  Tuesday April 9, 2019"	"COLVILLE WB AP WA"	  48.53	-117.87
129.101.53.227	"10:29 am  Tuesday April 9, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
129.101.53.227	"02:44 pm  Wednesday April 10, 2019"	"DENVER WB AP CO"	  39.77	-104.88
209.222.203.226	"05:37 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.200	"05:41 am  Thursday April 11, 2019"	"MOSCOW U OF I ID"	  46.73	-117.00
209.222.203.225	"05:41 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"05:41 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"05:42 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.226	"05:42 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.241	"05:44 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
