
192.88.140.11	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:30 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:32 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:33 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:35 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:37 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:38 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:45 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:45 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:45 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:53 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"02:57 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:57 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:57 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:57 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"02:57 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:59 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:00 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:00 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:02 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:03 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:03 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:04 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:05 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"03:08 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"03:21 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.178.227	"04:08 pm  Wednesday April 17, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"08:10 am  Thursday April 18, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"10:35 am  Thursday April 18, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"11:52 pm  Friday April 19, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"11:54 pm  Friday April 19, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"11:55 pm  Friday April 19, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"11:56 pm  Friday April 19, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"00:03 am  Saturday April 20, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.69.36	"07:52 am  Monday April 22, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
128.123.69.36	"07:55 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.178.227	"10:15 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.178.227	"10:15 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.178.227	"10:17 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"10:51 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"10:55 am  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.196.9	"12:20 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.196.9	"12:21 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.196.9	"12:23 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
96.72.13.211	"12:38 pm  Monday April 22, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
96.72.13.211	"12:44 pm  Monday April 22, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
96.72.13.211	"12:46 pm  Monday April 22, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.30	"01:16 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"01:16 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
96.72.13.211	"01:19 pm  Monday April 22, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.30	"01:25 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
96.72.13.211	"01:27 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.13.210	"01:54 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"02:30 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"02:37 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
