
206.123.180.162	"10:23 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:24 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:24 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.162	"10:24 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"10:25 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"10:25 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.175	"10:25 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.191.246	"10:26 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:26 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.175	"10:29 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.180.175	"10:29 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.180.175	"10:30 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.180.177	"10:30 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	 123.70
206.123.180.173	"10:31 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.174	"10:33 am  Wednesday March 20, 2019"	30	"Seminar 8 Climate +"	  47.31	 123.90
206.123.191.246	"10:34 am  Wednesday March 20, 2019"	30	"Prism 246 Elev. +"	  47.11	 123.78
206.123.180.174	"10:34 am  Wednesday March 20, 2019"	30	"Seminar 8 Climate +"	  47.31	 123.90
206.123.191.246	"10:34 am  Wednesday March 20, 2019"	30	"Prism 246 Elev. +"	  47.11	 123.78
206.123.180.175	"10:35 am  Wednesday March 20, 2019"	30	"Seminar 8 +"	  47.27	-123.70
206.123.191.246	"10:37 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.151	"10:38 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
