wt	wepp-68042	"May 24, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-135194	"11:30 pm  Thursday May 26, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-162942	"Jun 3, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-81878	"11:34 pm  Sunday June 5, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-225919	"Jun 9, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-122043	"03:25 pm  Saturday June 11, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-218785	"Jun 14, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-146447	"11:31 pm  Friday June 17, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-56793	"07:30 pm  Monday June 20, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-79712	"Jun 21, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-144347	"02:36 pm  Thursday June 23, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-47246	"Jun 28, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-145668	"11:39 am  Wednesday June 29, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-117178	"Jul 3, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-157024	"03:30 am  Tuesday July 5, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-121927	"Jul 9, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-186261	"03:44 pm  Sunday July 10, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-161154	"03:37 am  Wednesday July 13, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-199726	"Jul 14, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-239832	"11:28 pm  Friday July 15, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-127068	"Jul 20, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
