WR	wepp-3630	"06:49 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	200	4	18	20	50	130	25	20	inveg	ft
WR	wepp-4373	"07:11 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	4	18	20	50	130	25	20	inveg	ft
WR	wepp-4409	"07:11 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	4	18	20	50	130	25	20	inbare	ft
WR	wepp-5646	"08:01 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-5683	"08:01 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-6675	"08:19 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-6713	"08:20 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inveg	ft
WR	wepp-6751	"08:23 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	6	18	20	50	130	25	20	inveg	ft
WR	wepp-6799	"08:27 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-6835	"08:27 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	6	18	20	50	130	25	20	inbare	ft
WR	wepp-6879	"08:29 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	7.4	18	20	50	130	25	20	inbare	ft
WR	wepp-6923	"08:31 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	7.4	18	20	50	130	25	20	inbare	ft
WR	wepp-7030	"08:33 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	native	1000	7.4	18	20	50	130	25	20	inveg	ft
WR	wepp-7070	"08:34 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	7.4	18	20	50	130	25	20	inveg	ft
WR	wepp-7359	"09:03 pm  Monday April 2, 2018"	"PALESTINE WB CITY TX"	30	silt	graveled	1000	7.4	18	20	50	130	25	20	inveg	ft
