WR	wepp-19696	"04:30 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	10	13	15	30	1	20	20	outrut	ft
WR	wepp-19735	"04:31 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	400	5	13	15	30	1	20	20	outrut	ft
WR	wepp-19784	"04:32 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	26	15	30	1	20	20	outrut	ft
WR	wepp-19846	"04:36 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	graveled	200	5	13	15	30	1	20	20	outrut	ft
WR	wepp-20064	"04:44 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	1	20	20	outrut	ft
WR	wepp-20107	"04:45 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-20127	"04:46 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	graveled	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-20451	"04:56 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-20542	"04:59 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-20728	"05:01 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-20984	"05:06 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	100	20	20	outrut	ft
WR	wepp-21100	"05:08 pm  Wednesday October 3, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	200	20	20	outrut	ft
