WD	wepp-14438	"05:00 pm  Wednesday November 18, 2015"	"CANTON ISLAND PI"	10	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-14474	"05:00 pm  Wednesday November 18, 2015"	"CANTON ISLAND PI"	10	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-14522	"05:02 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-14645	"05:05 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Shrub	80	20	20	80	15	Shrub	80	20	20	80	15	0	m	""
WD	wepp-14913	"05:11 pm  Wednesday November 18, 2015"	"CANTON ISLAND PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-14989	"05:12 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	10	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-15128	"05:13 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-15239	"05:16 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-15278	"05:17 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	10	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	60	15	0	m	""
WD	wepp-15318	"05:19 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-15543	"05:24 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Shrub	80	20	20	50	15	Shrub	80	20	20	50	15	0	m	""
WD	wepp-15627	"05:25 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
WD	wepp-15724	"05:33 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Shrub	80	20	20	80	15	Shrub	80	20	20	80	15	0	m	""
WR	wepp-15815	"05:38 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	inveg	m
WD	wepp-15863	"05:39 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-15912	"05:40 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-15949	"05:40 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	sand	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WR	wepp-16070	"05:45 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	inveg	m
WR	wepp-16213	"05:47 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16269	"05:52 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16307	"05:54 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16346	"05:55 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16396	"05:56 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	20	15	15	outrut	m
WR	wepp-16441	"05:58 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	25	15	outrut	m
WR	wepp-16549	"06:01 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	20	15	15	outrut	m
WR	wepp-16589	"06:01 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16630	"06:02 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16704	"06:03 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16745	"06:05 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	0.3	20	15	outrut	m
WR	wepp-16828	"06:05 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	silt	native	100	4	4	5	30	20	15	15	outrut	m
WD	wepp-18065	"07:02 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	100	15	OldForest	80	20	20	100	15	0	m	""
WD	wepp-18102	"07:03 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-18213	"07:10 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	60	15	Bunchgrass	80	20	20	60	15	0	m	""
WD	wepp-18255	"07:11 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	100	15	Bunchgrass	80	20	20	60	15	0	m	""
WD	wepp-18296	"07:11 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-18338	"07:12 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	100	15	0	m	""
WD	wepp-18374	"07:12 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-18412	"07:13 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-18471	"07:15 pm  Wednesday November 18, 2015"	"../working/117_1_247_32_b"	30	silt		80	20	20	95	15		80	20	20	95	15	0	m	""
WD	wepp-18472	"07:15 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
