216.227.91.39	"08:26 am  Tuesday January 17, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"08:27 am  Tuesday January 17, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
166.7.61.110	"08:47 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"09:02 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"09:17 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
164.64.0.20	"09:33 am  Tuesday January 17, 2012"	30	"CUBA NM"	  36.02	-106.97
164.64.0.20	"09:34 am  Tuesday January 17, 2012"	30	"CUBA NM"	  36.02	-106.97
166.7.61.110	"09:51 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"09:56 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"09:58 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"09:58 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"10:01 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.156.146	"10:11 am  Tuesday January 17, 2012"	30	"MidBugsUnitCWetDay +"	  46.48	 115.36
166.7.156.146	"10:12 am  Tuesday January 17, 2012"	30	"MidBugsUnitC +"	  46.48	 115.36
166.7.156.146	"10:13 am  Tuesday January 17, 2012"	30	"MidBugsUnitC +"	  46.48	 115.36
166.7.156.146	"10:13 am  Tuesday January 17, 2012"	30	"MidBugsUnitCWetDay +"	  46.48	 115.36
166.7.61.110	"10:32 am  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
204.124.92.254	"10:35 am  Tuesday January 17, 2012"	50	"Meeteetse Draw +"	  43.72	-108.67
166.7.61.110	"10:37 am  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
204.124.92.254	"10:51 am  Tuesday January 17, 2012"	50	"Meeteetse Draw +"	  43.72	-108.67
166.7.61.110	"11:56 am  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"12:03 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"12:04 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"12:04 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"12:25 pm  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
166.7.61.110	"12:30 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"12:31 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"12:59 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"01:16 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"01:16 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"01:20 pm  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
166.7.61.110	"01:47 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:01 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:05 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:08 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:09 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:17 pm  Tuesday January 17, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"02:19 pm  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
