WR	wepp-101395	"06:20 pm  Wednesday March 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-153206	"12:22 pm  Thursday March 30, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-40403	"03:49 pm  Saturday April 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-65593	"02:32 am  Tuesday April 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-229473	"12:05 pm  Tuesday April 4, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-238826	"07:48 am  Wednesday April 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-63502	"05:13 am  Thursday April 6, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-63842	"05:51 am  Thursday April 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-135465	"02:15 pm  Friday April 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-135538	"02:20 pm  Friday April 7, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-111730	"07:39 pm  Saturday April 8, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-111788	"08:15 pm  Saturday April 8, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-179270	"02:34 am  Monday April 10, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-9523	"03:59 am  Monday April 10, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-235251	"03:25 am  Tuesday April 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-205672	"00:24 am  Wednesday April 12, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-162751	"04:54 am  Thursday April 13, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-47986	"06:50 am  Friday April 14, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-70918	"05:35 pm  Saturday April 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-72049	"06:05 pm  Saturday April 15, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-166539	"03:07 am  Monday April 17, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-181096	"10:14 pm  Monday April 17, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-25350	"00:03 am  Sunday April 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-160545	"06:55 pm  Tuesday April 25, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-160546	"06:55 pm  Tuesday April 25, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-210587	"10:39 am  Thursday April 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-228113	"08:11 pm  Thursday April 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-11741	"04:24 am  Saturday April 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-25901	"05:02 pm  Saturday April 29, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-45701	"04:06 pm  Sunday April 30, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-85448	"11:07 pm  Monday May 1, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-138153	"08:59 pm  Wednesday May 3, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-238509	"11:46 pm  Thursday May 4, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-239106	"01:03 am  Friday May 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-163750	"09:10 pm  Wednesday May 10, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-188049	"02:37 am  Saturday May 20, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-191781	"09:11 am  Saturday May 20, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-204635	"05:48 am  Sunday May 21, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-210031	"04:28 pm  Sunday May 21, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-23583	"00:27 am  Tuesday May 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-42074	"05:58 am  Wednesday May 24, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-76952	"08:01 pm  Thursday May 25, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-93488	"07:25 pm  Friday May 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-16041	"06:52 am  Tuesday June 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-208062	"03:54 pm  Sunday June 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-171610	"07:03 am  Friday June 16, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-114227	"07:35 pm  Tuesday June 20, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-118134	"05:36 pm  Wednesday June 21, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-196210	"01:28 am  Friday June 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-1442	"08:09 am  Tuesday June 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-3730	"10:53 am  Tuesday June 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-45883	"06:50 pm  Wednesday June 28, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-14378	"07:51 pm  Thursday June 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-5472	"02:12 pm  Sunday July 2, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-146518	"02:25 am  Thursday July 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-166931	"06:43 am  Friday July 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-169016	"04:14 pm  Friday July 7, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-137358	"05:06 am  Monday July 10, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-154366	"09:55 am  Monday July 10, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-168379	"05:58 pm  Tuesday July 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-149288	"06:36 pm  Wednesday July 12, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-149890	"08:06 pm  Wednesday July 12, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-173396	"04:35 am  Friday July 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-216549	"11:42 am  Saturday July 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-216614	"11:47 am  Saturday July 15, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-64565	"11:46 pm  Sunday July 16, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-100102	"06:46 pm  Tuesday July 18, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-103644	"09:19 pm  Wednesday July 19, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-13061	"01:57 am  Friday July 21, 2017"	""	1			0	0	0	0	0	0	0	0		
