WD	wepp-28952	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1900	40	42	90	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-28959	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1700	27	46	50	20	OldForest	300	8	8	100	20	0	ft	"F15"
WD	wepp-28966	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	24	49	50	20	OldForest	300	67	67	100	20	0	ft	"F14"
WD	wepp-28973	"02:14 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	2500	37	37	50	20	OldForest	300	10	10	100	20	0	ft	"F11"
WD	wepp-28980	"02:15 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1270	57	57	50	20	OldForest	570	42	42	100	20	0	ft	"F10"
WD	wepp-29006	"02:15 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1380	29	62	50	20	OldForest	300	67	67	100	20	0	ft	"F8"
WD	wepp-29014	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	580	62	62	95	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-29034	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	820	39	39	95	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-29041	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1200	23	23	95	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-29048	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	730	55	55	95	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-29055	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1500	64	64	95	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-29062	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1100	21	31	95	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-29069	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	750	53	53	95	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-29076	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	720	56	56	95	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-29083	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	950	46	46	95	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-29090	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1720	40	31	95	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-29097	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1250	34	44	95	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-29104	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1900	40	42	95	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-29111	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1700	27	46	95	20	OldForest	300	8	8	100	20	0	ft	"F15"
WD	wepp-29118	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	24	49	95	20	OldForest	300	67	67	100	20	0	ft	"F14"
WD	wepp-29125	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	2500	37	37	95	20	OldForest	300	10	10	100	20	0	ft	"F11"
WD	wepp-29132	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1270	57	57	95	20	OldForest	570	42	42	100	20	0	ft	"F10"
WD	wepp-29139	"02:17 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1380	29	62	95	20	OldForest	300	67	67	100	20	0	ft	"F8"
WD	wepp-29418	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	580	62	62	95	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-29438	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	39	39	80	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-29445	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1200	23	23	95	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-29452	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	730	55	55	95	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-29459	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1500	64	64	95	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-29466	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1100	21	31	95	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-29473	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	750	53	53	80	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-29480	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	720	56	56	80	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-29487	"02:48 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	950	46	46	95	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-29498	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1720	40	31	80	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-29505	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1250	34	44	80	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-29512	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1900	40	42	80	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-29519	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1700	27	46	80	20	OldForest	300	8	8	100	20	0	ft	"F15"
WD	wepp-29526	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	24	49	80	20	OldForest	300	67	67	100	20	0	ft	"F14"
WD	wepp-29533	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	2500	37	37	80	20	OldForest	300	10	10	100	20	0	ft	"F11"
WD	wepp-29540	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1270	57	57	80	20	OldForest	570	42	42	100	20	0	ft	"F10"
WD	wepp-29548	"02:49 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1380	29	62	80	20	OldForest	300	67	67	100	20	0	ft	"F8"
WD	wepp-30572	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	580	62	62	95	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-30591	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	39	39	90	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-30598	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1200	23	23	95	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-30605	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	730	55	55	95	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-30612	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1500	64	64	95	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-30619	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1100	21	31	95	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-30626	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	750	53	53	90	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-30633	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	720	56	56	90	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-30640	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	950	46	46	95	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-30647	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1720	40	31	90	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-30654	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1250	34	44	90	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-30661	"04:29 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1900	40	42	90	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-30668	"04:30 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1700	27	46	80	20	OldForest	300	8	8	95	20	0	ft	"F15"
WD	wepp-30694	"04:30 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	24	49	80	20	OldForest	300	67	67	95	20	0	ft	"F14"
WD	wepp-30701	"04:30 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	2500	37	37	80	20	OldForest	300	10	10	95	20	0	ft	"F11"
WD	wepp-30708	"04:30 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1270	57	57	80	20	OldForest	570	42	42	95	20	0	ft	"F10"
WD	wepp-30715	"04:30 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1380	29	62	80	20	OldForest	300	67	67	95	20	0	ft	"F8"
WD	wepp-30907	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	580	62	62	100	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-30927	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	820	39	39	100	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-30934	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1200	23	23	100	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-30941	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	730	55	55	100	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-30948	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1500	64	64	100	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-30956	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1100	21	31	100	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-30963	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	750	53	53	100	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-30970	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	720	56	56	100	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-30977	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	950	46	46	100	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-30984	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1720	40	31	100	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-30991	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1250	34	44	100	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-30998	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1900	40	42	100	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-31005	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1700	27	46	95	20	OldForest	300	8	8	95	20	0	ft	"F15"
WD	wepp-31012	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	820	24	49	95	20	OldForest	300	67	67	95	20	0	ft	"F14"
WD	wepp-31019	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	2500	37	37	95	20	OldForest	300	10	10	95	20	0	ft	"F11"
WD	wepp-31026	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1270	57	57	95	20	OldForest	570	42	42	95	20	0	ft	"F10"
WD	wepp-31033	"04:58 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	OldForest	1380	29	62	95	20	OldForest	300	67	67	95	20	0	ft	"F8"
WD	wepp-31092	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	580	62	62	95	20	OldForest	300	83	32	100	20	0	ft	"10"
WD	wepp-31112	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	39	39	90	20	OldForest	395	51	51	100	20	0	ft	"40"
WD	wepp-31119	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1200	23	23	95	20	OldForest	740	32	32	100	20	0	ft	"39"
WD	wepp-31126	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	730	55	55	95	20	OldForest	300	80	80	100	20	0	ft	"55"
WD	wepp-31133	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1500	64	64	95	20	OldForest	300	87	87	100	20	0	ft	"6"
WD	wepp-31140	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	1100	21	31	95	20	OldForest	300	17	17	100	20	0	ft	"17"
WD	wepp-31147	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	750	53	53	90	20	OldForest	580	48	24	100	20	0	ft	"27"
WD	wepp-31154	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	720	56	56	90	20	OldForest	300	40	40	100	20	0	ft	"24"
WD	wepp-31161	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	YoungForest	950	46	46	95	20	OldForest	300	33	33	100	20	0	ft	"42"
WD	wepp-31168	"05:02 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1720	40	31	90	20	OldForest	300	33	33	100	20	0	ft	"66 (and others)"
WD	wepp-31175	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1250	34	44	90	20	OldForest	300	80	80	100	20	0	ft	"61"
WD	wepp-31182	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1900	40	42	90	20	OldForest	275	29	29	100	20	0	ft	"69"
WD	wepp-31189	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1700	27	46	85	20	OldForest	300	8	8	95	20	0	ft	"F15"
WD	wepp-31196	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	820	24	49	85	20	OldForest	300	67	67	95	20	0	ft	"F14"
WD	wepp-31203	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	2500	37	37	85	20	OldForest	300	10	10	95	20	0	ft	"F11"
WD	wepp-31210	"05:03 pm  Wednesday September 11, 2013"	"beaver creek +"	30	sand	LowFire	1270	57	57	85	20	OldForest	570	42	42	95	20	0	ft	"F10"
