WR	wepp-172766	"03:02 pm  Sunday March 19, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-176873	"Mar 20, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-3281	"Mar 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-14445	"05:44 am  Saturday March 25, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-73977	"Mar 28, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-12244	"09:22 pm  Thursday March 30, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-37848	"Apr 1, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-42501	"11:49 pm  Saturday April 1, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-237446	"Apr 5, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-237447	"04:55 am  Wednesday April 5, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-112473	"Apr 9, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-153930	"04:28 pm  Monday April 10, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-167591	"Apr 13, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-75942	"02:04 am  Sunday April 16, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-188009	"09:34 am  Tuesday April 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-188011	"Apr 18, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-8457	"05:16 pm  Friday April 21, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-30812	"Apr 23, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-196746	"02:30 am  Thursday April 27, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-5478	"Apr 28, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-105536	"02:23 pm  Tuesday May 2, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-130804	"May 3, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-143747	"06:33 am  Thursday May 4, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-47565	"11:10 am  Monday May 8, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-56568	"May 9, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-149516	"May 14, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-149541	"01:53 am  Sunday May 14, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-131922	"May 18, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-131923	"12:57 pm  Thursday May 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-180507	"02:41 pm  Friday May 19, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-41451	"May 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-59392	"05:58 am  Thursday May 25, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-81431	"05:27 am  Friday May 26, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-118585	"May 28, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-165773	"07:34 pm  Tuesday May 30, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-181860	"09:21 pm  Wednesday May 31, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-205587	"Jun 2, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-3058	"06:42 am  Monday June 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-23104	"01:58 pm  Tuesday June 6, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-237883	"Jun 14, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-238370	"03:21 am  Wednesday June 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-238371	"03:22 am  Wednesday June 14, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-78496	"Jun 19, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-78497	"05:58 pm  Monday June 19, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-78498	"05:58 pm  Monday June 19, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-40901	"Jun 28, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-40919	"09:11 am  Wednesday June 28, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-40920	"09:12 am  Wednesday June 28, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-39865	"Jul 3, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-39871	"08:49 pm  Monday July 3, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-39872	"08:50 pm  Monday July 3, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-168414	"Jul 11, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-168415	"06:12 pm  Tuesday July 11, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-168416	"06:12 pm  Tuesday July 11, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-120929	"Aug 11, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-120930	"06:56 am  Friday August 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-184330	"09:27 pm  Friday August 11, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-21096	"Aug 18, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
