63.99.196.34	"10:40 am  Monday January 7, 2013"	30	"TROUT CREEK -20 1/7 +"	  47.87	-115.62
63.99.196.34	"10:41 am  Monday January 7, 2013"	30	"TROUT CREEK -20 1/7 +"	  47.87	-115.62
63.99.196.34	"10:46 am  Monday January 7, 2013"	30	"TROUT CREEK -20 1/7 +"	  47.87	-115.62
93.1.218.11	"11:18 am  Monday January 7, 2013"	10	"MOSCOW U OF I ID"	  46.73	-117.00
63.99.196.34	"12:44 pm  Monday January 7, 2013"	30	"TROUT CREEK -20% +"	  47.87	-115.62
63.99.196.34	"12:45 pm  Monday January 7, 2013"	30	"TROUT CREEK -20% +"	  47.87	-115.62
166.5.207.186	"02:02 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:03 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:08 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:08 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:09 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:21 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:21 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:22 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:22 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:23 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:23 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:23 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:23 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:24 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:25 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:25 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:25 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:25 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:26 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:26 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
166.5.207.186	"02:26 pm  Monday January 7, 2013"	50	"Mountain High Resorts CA +"	  34.37	 117.69
157.55.32.103	"04:11 pm  Monday January 7, 2013"	1	""		
