166.3.6.187	"10:01 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:03 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:04 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:06 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:07 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:08 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:10 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:11 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:12 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:13 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:15 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:16 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:18 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:19 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:21 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:22 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"10:23 am  Monday October 29, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.6.187	"11:17 am  Monday October 29, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.2.22.197	"09:42 am  Thursday November 8, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.22.197	"09:46 am  Thursday November 8, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.22.197	"09:47 am  Thursday November 8, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.22.121	"10:28 am  Thursday November 8, 2018"	"Matt SEELEY LAKE RS MT + + +"	  47.26	 113.48
166.2.22.191	"09:17 am  Thursday November 15, 2018"	"COLVILLE WB AP WA"	  48.53	-117.87
166.2.22.191	"09:31 am  Thursday November 15, 2018"	"COLVILLE WB AP WA"	  48.53	-117.87
166.2.22.191	"09:31 am  Thursday November 15, 2018"	"COLVILLE WB AP WA"	  48.53	-117.87
67.166.147.249	"11:59 am  Friday November 30, 2018"	"MOUNT SHASTA CA"	  41.32	-122.32
107.77.211.66	"09:44 pm  Sunday December 2, 2018"	"MOUNT SHASTA CA"	  41.32	-122.32
64.62.149.62	"09:03 am  Wednesday December 5, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
64.62.149.62	"09:04 am  Wednesday December 5, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
74.122.220.6	"01:34 pm  Wednesday December 5, 2018"	"MOUNT IDA 1 AR"	  34.55	 -93.63
142.103.212.198	"04:41 pm  Tuesday December 11, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.17.243	"02:53 pm  Thursday December 20, 2018"	"DEADWOOD DAM ID"	  44.32	-115.63
