IP	Date and time	hills	version	climate	lat	long
166.2.22.221	"02:39 pm  Friday April 6, 2018"	2	2018.04.06	"Cove_Fire"
166.7.133.88	"09:06 am  Monday April 16, 2018"	84	2017.01.16	"Potters_"
166.7.133.88	"09:11 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:16 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:17 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:21 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:22 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:26 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:31 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
166.7.133.88	"09:31 am  Monday April 16, 2018"	84	2017.01.16	"my_location"
66.86.91.5	"03:50 pm  Monday April 16, 2018"	2	2017.01.16	"South_of_battle_Mountain_NV"
166.7.166.166	"03:58 pm  Monday April 30, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.166.166	"04:01 pm  Monday April 30, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.166.166	"04:09 pm  Monday April 30, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.166.166	"04:47 pm  Monday April 30, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.166.166	"04:12 pm  Tuesday May 1, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.166.166	"04:17 pm  Tuesday May 1, 2018"	77	2017.01.16	"Bonners_Ferry_"
166.7.133.8	"01:14 pm  Thursday May 3, 2018"			""
166.7.133.8	"01:17 pm  Thursday May 3, 2018"			""
166.7.133.8	"01:17 pm  Thursday May 3, 2018"			""
166.7.133.8	"01:18 pm  Thursday May 3, 2018"			""
166.7.133.8	"01:19 pm  Thursday May 3, 2018"			""
166.7.133.8	"01:21 pm  Thursday May 3, 2018"	84	2017.01.16	"Potters_"
166.7.133.8	"01:22 pm  Thursday May 3, 2018"	84	2017.01.16	"Potters_"
166.7.133.8	"01:24 pm  Thursday May 3, 2018"	84	2017.01.16	"Potters_"
166.7.133.8	"01:25 pm  Thursday May 3, 2018"	84	2017.01.16	"my_location"
166.7.133.8	"01:27 pm  Thursday May 3, 2018"	84	2017.01.16	"my_location"
166.7.133.8	"01:32 pm  Thursday May 3, 2018"	84	2017.01.16	"my_location"
166.7.133.8	"01:34 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"01:37 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"01:39 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"01:55 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"01:57 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"01:59 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
166.7.133.8	"02:03 pm  Thursday May 3, 2018"	59	2017.01.16	"my_location"
72.175.59.177	"10:04 am  Friday May 4, 2018"	59	2017.01.16	"Potters_"
72.175.59.177	"10:07 am  Friday May 4, 2018"	59	2017.01.16	"Potters_"
72.175.59.177	"10:09 am  Friday May 4, 2018"	59	2017.01.16	"Potters_"
72.175.59.177	"10:16 am  Friday May 4, 2018"	59	2017.01.16	"Potters_"
72.175.59.177	"10:23 am  Friday May 4, 2018"	59	2017.01.16	"Coer_d'Alene"
72.175.59.177	"10:27 am  Friday May 4, 2018"	59	2017.01.16	"Coer_d'Alene"
166.2.22.126	"02:05 pm  Monday May 7, 2018"	6	2018.04.06	"Cove_Fire"
166.2.22.126	"03:06 pm  Monday May 7, 2018"	100	2018.04.06	"Cove_Fire"
166.2.22.126	"04:03 pm  Monday May 7, 2018"	100	2017.01.16	"my_location"
140.160.50.26	"12:58 pm  Tuesday May 8, 2018"	100	2018.04.06	"Cove_Fire"
166.7.133.182	"09:14 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"09:20 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"09:24 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"09:33 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"09:48 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"09:59 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"10:03 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"10:15 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"10:28 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"10:31 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
166.7.133.182	"10:34 am  Thursday May 17, 2018"	83	2018.04.06	"Potter_Wheel"
174.31.30.226	"07:14 pm  Thursday June 7, 2018"	8	2018.04.06	"Cove_Fire"
174.31.30.226	"07:21 pm  Thursday June 7, 2018"	8	2018.04.06	"Cove_Fire"
174.31.30.226	"07:27 pm  Thursday June 7, 2018"	8	2018.04.06	"Cove_Fire"
